,lastLowPrice,low24hPrice,avg24hPrice,prapor,praporCurrency,therapist,therapistCurrency,fence,fenceCurrency,skier,skierCurrency,peacekeeper,peacekeeperCurrency,mechanic,mechanicCurrency,ragman,ragmanCurrency,jaeger,jaegerCurrency
AKMP system rear sight device,,,,513.0,RUB,,,,,,,,,,,,,,
AKM PBS-1 7.62x39 sound suppressor,24999.0,,34528.0,52512.0,RUB,,,,,,,,,,,,,,
AKM dust cover (6P1 0-1),14111.0,,,1106.0,RUB,,,,,,,,,,,,,,
RDG-2B smoke grenade,,,,4745.0,RUB,,,,,,,,,,,,,,
PU 3.5x ring scope mount,9999.0,,6371.0,1205.0,RUB,,,,,,,,,,,,,,
7.62x39mm T-45M1 gzh,,,,73.0,RUB,,,,,,,,,,,,,,
Axion Kobra sight shade,900.0,,,109.0,RUB,,,,,,,,,,,,,,
9x21mm BT gzh,,,,381.0,RUB,,,,,,,,,,,,,,
Mosin Rifle 7.62x54R 5-round magazine,19999.0,,20000.0,2148.0,RUB,,,,,,,,,,,,,,
Kalashnikov AKMS 7.62x39 assault rifle,,,,41873.0,RUB,,,,,,,,,,,,,,
APB 9x18PM sound suppressor,6500.0,,8682.0,7002.0,RUB,,,,,,,,,,,,,,
"""Zarya"" stun grenade",,,,7320.0,RUB,,,,,,,,,,,,,,
AKM 7.62x39 muzzle brake-compensator (6P1 0-14),5000.0,,,663.0,RUB,,,,,,,,,681.0,RUB,,,,
9x21mm PS gzh,,,,153.0,RUB,,,,,,,,,,,,,,
Kalashnikov AKMN 7.62x39 assault rifle,,,,48193.0,RUB,,,,,,,,,,,,,,
6B47 Ratnik-BSh helmet,,,,33336.0,RUB,,,,,,,,,,,,,,
AKMB system rear sight,,,,514.0,RUB,,,,,,,,,,,,,,
APS 9x18PM 20-round magazine,7777.0,,9888.0,926.0,RUB,,,,,,,,,,,,,,
AK 7.62x39 6L10 30-round magazine,2151.0,,7000.0,2152.0,RUB,,,,,,,,,,,,,,
AK-74M rear sight (6P20 Sb.2),9999.0,,,559.0,RUB,,,,,,,,,,,,,,
7.62x39mm US gzh,,,,161.0,RUB,,,,,,,,,,,,,,
"PP-19-01 ""Vityaz"" 9x19 30-round magazine",29420.0,,17210.0,2640.0,RUB,,,,,,,,,,,,,,
AKMP system front sight device,9999.0,,,513.0,RUB,,,,,,,,,,,,,,
9x39 SR3M.130 30-round magazine,45000.0,,48025.0,39278.0,RUB,,,,,,,,,,,,,,
Kalashnikov AK-103 7.62x39 assault rifle,,,,47826.0,RUB,,,,,,,,,,,,,,
AKML system 7.62x39 flash hider,26500.0,,27712.0,661.0,RUB,,,,,,,,,,,,,,
NSPU-M night vision scope,22000.0,,14998.0,14968.0,RUB,,,,,,,,,,,,,,
6B34 anti-fragmentation glasses,,,,3003.0,RUB,,,,,,,,,,,,,,
NSPU-M scope eyecup,10000.0,,,285.0,RUB,,,,,,,,,,,,,,
AK bakelite pistol grip (6P1 Sb.8V),832.0,,,833.0,RUB,,,,,,,,,,,,,,
AK-74 polymer stock (6P20 Sb.7),11111.0,,,2255.0,RUB,,,,,,,,,,,,,,
AK 7.62x39 bakelite 40-round magazine,10800.0,,19931.0,3909.0,RUB,,,,,,,,,,,,,,
9x21mm P gzh,,,,164.0,RUB,,,,,,,,,,,,,,
Mosin Rifle rear sight,1000.0,,,958.0,RUB,,,,,,,,,,,,,,
APB 9x18PM silenced machine pistol,,,,30305.0,RUB,,,,,,,,,,,,,,
SR-1MP sound suppressor mount,19000.0,,,3015.0,RUB,,,,,,,,,,,,,,
SR-1MP quad rail mount,19999.0,,20093.0,10489.0,RUB,,,,,,,,,,,,,,
APB detachable wire stock,40000.0,,40000.0,7406.0,RUB,,,,,,,,,,,,,,
RPK-16 5.45x39 15 inch barrel,17500.0,,28617.0,13298.0,RUB,,,,,,,,,,,,,,
AK-103 7.62x39 30-round magazine,12220.0,,14361.0,2110.0,RUB,,,,,,,,,,,,,,
Kalashnikov AKMSN 7.62x39 assault rifle,,,,43063.0,RUB,,,,,,,,,,,,,,
AK-74M polymer stock (6P34 Sb.15),2200.0,,,1773.0,RUB,,,,,,,,,,,,,,
AK-12 5.45x39 30-round magazine,11000.0,,14136.0,3747.0,RUB,,,,,,,,,,,,,,
Mosin Rifle carbine rear sight,5000.0,,,872.0,RUB,,,,,,,,,,,,,840.0,RUB
PU 3.5x riflescope,14000.0,,17443.0,13446.0,RUB,,,,,,,,,,,,,,
Mosin 7.62x54R bolt-action rifle (Sniper),,,,42203.0,RUB,,,,,,,,,,,,,,
Kalashnikov AKS-74N 5.45x39 assault rifle,,,,38072.0,RUB,,,,,,,,,,,,,,
AK-12 stock,12000.0,,17183.0,4905.0,RUB,,,,,,,,,,,,,,
AK-12 pistol grip,11111.0,,24471.0,1881.0,RUB,,,,,,,,,,,,,,
Kalashnikov AK-74M 5.45x39 assault rifle,,,,39037.0,RUB,,,,,,,,,,,,,,
Valday PS-320 1/6x scope,32000.0,,37052.0,54017.0,RUB,,,,,,,,,,,,,,
Kalashnikov AK-105 5.45x39 assault rifle,,,,44093.0,RUB,,,,,,,,,,,,,,
Valday PK-120 (1P87) holographic sight,15555.0,,16656.0,20956.0,RUB,,,,,,,,,,,,,,
9x39mm SPP gs,,,,1292.0,RUB,,,,,,,,,,,,,,
Kalashnikov AK-74 5.45x39 assault rifle,,,,34309.0,RUB,,,,,,,,,,,,,,
GSSh-01 active headset,,,,15219.0,RUB,,,,,,,,,,,,,,
12.7x55mm PS12,,,,371.0,RUB,,,,,,,,,,,,,,
Kalashnikov AK-104 7.62x39 assault rifle,,,,53888.0,RUB,,,,,,,,,,,,,,
SVD 7.62x54R 10-round magazine,25000.0,,9644.0,4088.0,RUB,,,,,,,,,,,,,,
RPK-16 rear sight base,871.0,,,872.0,RUB,,,,,,,,,,,,,,
RPK-16 5.45x39 light machine gun,,,,68452.0,RUB,,,,,,,,,,,,,,
Mosin Rifle front sight,571.0,,,572.0,RUB,,,,,,,,,,,,,,
Mosin 7.62x54R bolt-action rifle (Infantry),,,,35043.0,RUB,,,,,,,,,,,,,,
RPK-16 dust cover,7800.0,,23655.0,7848.0,RUB,,,,,,,,,,,,,,
RPK-16 5.45x39 22 inch barrel,70000.0,,74403.0,18857.0,RUB,,,,,,,,,,,,,,
SV-98 7.62x54R sound suppressor,28000.0,,34834.0,40049.0,RUB,,,,,,,,,,,,,,
SVD 7.62x54R 20-round magazine,28500.0,,29190.0,10770.0,RUB,,,,,,,,,,,,,,
ASh-12 12.7x55 muzzle brake-compensator,8500.0,,13608.0,6649.0,RUB,,,,,,,,,,,,,,
BelOMO PSO-1 4x24 scope,19000.0,,20660.0,19385.0,RUB,,,,,,,,,,,,,,
SVDS 7.62x54R muzzle brake-compensator,28500.0,,,657.0,RUB,,,,,,,,,,,,,,
SVDS 7.62x54R sniper rifle,,,,93894.0,RUB,,,,,,,,,,,,,,
NPP KlASS Korund-VM body armor,,,,112619.0,RUB,,,,,,,,,,,,,,
SVDS front sight,1000.0,,,572.0,RUB,,,,,,,,,,,,,,
SV-98 sound suppressor heat shield,5000.0,,7000.0,436.0,RUB,,,,,,,,,,,,,,
AK-100 series polymer handguard,7777.0,,,1441.0,RUB,,,,,,,,,,,,,,
SVDS gas tube,9999.0,,,2747.0,RUB,,,,,,,,,,,,,,
ASh-12 folding front sight,4000.0,,,2434.0,RUB,,,,,,,,,,,,,,
ASh-12 vertical foregrip,25000.0,,29858.0,2344.0,RUB,,,,,,,,,,,,,,
7.62x54mm R BT gzh,,,,1214.0,RUB,,,,,,,,,,,,,,
ASh-12 12.7x55 10-round magazine,7099.0,,29140.0,7194.0,RUB,,,,,,,,,,,,,,
RPK-16 rear sight,700.0,,,872.0,RUB,,,,,,,,,,,,,,
NPZ USP-1 scope eyecup,5000.0,,,301.0,RUB,,,,,,,,,,,,,,
ASh-12 rear sight carry handle,28999.0,,30616.0,1962.0,RUB,,,,,,,,,,,,,,
"AK-74 ""Plum"" polymer handguard (6P20 Sb.9)",1222.0,,,1223.0,RUB,,,,,,,,,,,,,,
ASh-12 12.7x55 20-round magazine,40420.0,,50579.0,24427.0,RUB,,,,,,,,,,,,,,
KMZ 1P59 dovetail mount,1900.0,,,1908.0,RUB,,,,,,,,,,,,,,
SVDS rear sight,957.0,,,958.0,RUB,,,,,,,,,,,,,,
AK 7.62x39 Molot 75-round drum magazine,29000.0,,35319.0,31610.0,RUB,,,,,,,,,,,,,,
ASh-12 polymer handguard,4000.0,,10329.0,1114.0,RUB,,,,,,,,,,,,,,
SV-98 7.62x54R thread adapter,95000.0,,62110.0,6301.0,RUB,,,,,,,,,,,,,,
12.7x55mm PS12A,,,,351.0,RUB,,,,,,,,,,,,,,
BelOMO PSO-1M2 4x24 scope,16998.0,,20554.0,20475.0,RUB,,,,,,,,,,,,,,
"AK-74 ""Plum"" polymer stock (6P20 Sb.7)",2360.0,,,2364.0,RUB,,,,,,,,,,,,,,
KMZ 1P69 Weaver mount,14500.0,,,2050.0,RUB,,,,,,,,,,,,,,
"AK-74 5.45x39 6L23 ""Plum"" 30-round magazine",5500.0,,,2289.0,RUB,,,,,,,,,,,,,,
"NPZ USP-1 ""Tyulpan"" 4x scope",9999.0,,14557.0,15805.0,RUB,,,,,,,,,,,,,,
KMZ 1P59 3-10x riflescope,12000.0,,16654.0,24198.0,RUB,,,,,,,,,,,,,,
PPSh-41 7.62x25 71-round drum magazine,50000.0,,50000.0,17440.0,RUB,,,,,,,,,,,,,,
KMZ 1P69 3-10x riflescope,16500.0,,17260.0,27468.0,RUB,,,,,,,,,,,,,,
ASh-12 12.7x55 sound suppressor,19500.0,,27128.0,39120.0,RUB,,,,,,,,,,,,,,
PPSh-41 7.62x25 35-round magazine,2860.0,,6430.0,2868.0,RUB,,,,,,,,,,,,,,
KMZ 1P59 scope eyecup,10000.0,,,628.0,RUB,,,,,,,,,,,,,,
"23x75mm ""Shrapnel-25"" buckshot",,,,138.0,RUB,,,,,,,,,,,,,,
Valday Krechet reflex sight,15000.0,,17687.0,14416.0,RUB,,,,,,,,,,,,,,
7.62x54mm R T-46M gzh,,,,258.0,RUB,,,,,,,,,,,,,,
SVD modernization kit top rail,13888.0,,21684.0,10038.0,RUB,,,,,,,,,,,,,,
"23x75mm ""Shrapnel-10"" buckshot",,,,120.0,RUB,,,,,,,,,,,,,,
PL-15 9x19 sound suppressor,17443.0,,19079.0,33790.0,RUB,,,,,,,,,,,,,,
SVD modernization kit handguard,17000.0,,23563.0,15587.0,RUB,,,,,,,,,,,,,,
PL-15 9x19 threaded barrel,29999.0,,33848.0,5394.0,RUB,,,,,,,,,,,,,,
"23x75mm ""Barrikada"" slug",,,,280.0,RUB,,,,,,,,,,,,,,
PPSh-41 7.62x25 submachine gun,,,,26599.0,RUB,,,,,,,,,,,,,,
PL-15 extended rear sight,,,,1036.0,RUB,,,,,,,,,,,,,,
PL-15 9x19 barrel,7500.0,,9405.0,2794.0,RUB,,,,,,,,,,,,,,
PL-15 9x19 16-round magazine,7777.0,,14332.0,1500.0,RUB,,,,,,,,,,,,,,
NPP KlASS Condor glasses,,,,16743.0,RUB,,,,,,,,,,,,,,
PL-15 extended front sight,,,,1036.0,RUB,,,,,,,,,,,,,,
Kalashnikov AKS-74U 5.45x39 assault rifle,,,,24605.0,RUB,,,,,,,,,,,,,,
Lebedev PL-15 9x19 pistol,,,,18137.0,RUB,,,,,,,,,,,,,,
SV-98 wooden stock,10000.0,,10000.0,4121.0,RUB,,,,,,,,,,,,,,
AS VAL dust cover,50000.0,,50000.0,1743.0,RUB,,,,,,,,,,,,,,
AS VAL rear sight,10000.0,,,1086.0,RUB,,,,,,,,,,,,,,
VSS dust cover,41000.0,,38000.0,1766.0,RUB,,,,,,,,,,,,,,
VSS rear sight,999.0,,,1086.0,RUB,,,,,,,,,,,,,,
Mosin Rifle Kochetov mount,25000.0,,20643.0,1373.0,RUB,,,,,,,,,,,,,,
AK-74M dust cover (6P34 0-1),1200.0,,8377.0,1265.0,RUB,,,,,,,,,,,,,,
SV-98 anti-heat ribbon,5000.0,,9999.0,2553.0,RUB,,,,,,,,,,,,,,
SV-98 bipod,8000.0,,11723.0,4654.0,RUB,,,,,,,,,,,,,,
AK-103 7.62x39 muzzle brake-compensator,654.0,,,654.0,RUB,,,,,,,,,,,,,,
"23x75mm ""Zvezda"" flashbang round",,,,2618.0,RUB,,,,,3381.0,RUB,,,,,,,,
7.62x39mm BP gzh,,,,1320.0,RUB,,,,,,,,,,,,,,
12.7x55mm PS12B,,,,695.0,RUB,,,,,,,,,,,,,,
AK 7.62x39 30-round magazine (issued '55 or later),11000.0,,16657.0,1922.0,RUB,,,,,,,,,,,,,,
Lucky Scav Junk box,,,,,,1106138.0,RUB,,,,,,,,,,,,
Bottle of water (0.6L),,,,,,12401.0,RUB,,,,,,,,,,,,
Keycard holder case,,,,,,508883.0,RUB,,,,,,,,,,,,
Item case,,,,,,19941.0,EUR,,,,,,,,,,,,
Morphine injector,,,,,,42133.0,RUB,,,,,,,,,,,,
Immobilizing splint,,,,,,4283.0,RUB,,,,,,,,,,,,
Analgin painkillers,,,,,,8542.0,RUB,,,,,,,,,,,,
Car first aid kit,,,,,,11795.0,RUB,,,,,,,,,,,,
AI-2 medkit,,,,,,6638.0,RUB,,,,,,,,,,,,
Salewa first aid kit,,,,,,37061.0,RUB,,,,,,,,,,,,
Army bandage,,,,,,3251.0,RUB,,,,,,,,,,,,
Factory plan map,,,,,,17896.0,RUB,,,,,,,,,,,,
Emelya rye croutons,,,,,,13562.0,RUB,,,,,,,,,,,,
Grizzly medical kit,,,,,,79739.0,RUB,,,,,,,,,,,,
Augmentin antibiotic pills,,,,,,45067.0,RUB,,,,,,,,,,,,
Shoreline plan map,,,,,,22145.0,RUB,,,,,,,,,,,,
IFAK individual first aid kit,,,,,,43524.0,RUB,,,,,,,,,,,,
Medicine case,,,,,,548610.0,RUB,,,,,,,,,,,,
Aluminum splint,,,,,,25397.0,RUB,,,,,,,,,,,,
Aseptic bandage,,,,,,3117.0,RUB,,,,,,,,,,,,
Army crackers,,,,,,14665.0,RUB,,,,,,,,,,,,
Interchange plan map,,,,,,10157.0,RUB,,,,,,,,,,,,
Shoreline Health Resort plan map,,,,,,10408.0,RUB,,,,,,,,,,,,
TerraGroup Labs access keycard,,,,,,166500.0,RUB,,,,,,,,,,,,
Propital regenerative stimulant injector,,,,,,33897.0,RUB,,,,,,,,,,,,
Zagustin hemostatic drug injector,,,,,,46537.0,RUB,,,,,,,,,,,,
Adrenaline injector,,,,,,40159.0,RUB,,,,,,,,,,,,
Dogtag case,,,,,,344100.0,RUB,,,,,,,,,,,,
Esmarch tourniquet,,,,,,4263.0,RUB,,,,,,,,,,,,
CALOK-B hemostatic applicator,,,,,,13949.0,RUB,,,,,,,,,,,,
TangoDown Stubby BGV-MK46K foregrip,8999.0,,9102.0,,,,,,,4802.0,RUB,4592.0,RUB,,,,,,
Leapers UTG reflex sight,13665.0,,14400.0,,,,,,,14030.0,RUB,,,,,,,,
AR-15 F1 Firearms Skeletonized Style 2 pistol grip,30000.0,,39714.0,,,,,,,17193.0,RUB,,,,,,,,
Euros,,,,,,,,,,116.0,RUB,,,,,,,,
AR-15 AWC PSR 5.56x45 muzzle brake,10000.0,,16114.0,,,,,,,10580.0,RUB,,,,,,,,
5.56x45mm M855A1,,,,,,,,,,526.0,RUB,896.0,RUB,,,,,,
FN SCAR Kinetic MREX 6.5 M-LOK rail,23000.0,,37776.0,,,,,,,11730.0,RUB,,,,,,,,
Geissele Super Precision top ring cap,37000.0,,19998.0,,,,,,,1725.0,RUB,,,,,,,,
AWC PSR muzzle brake protector,,,,,,,,,,1150.0,RUB,,,,,,,,
.300 Whisper,,,,,,,,,,109.0,RUB,,,,,,,,
.300 Blackout V-Max,,,,,,,,,,144.0,RUB,,,,,,,,
Geissele Super Precision 30mm ring scope mount,21000.0,,28370.0,,,,,,,14375.0,RUB,,,,,,,,
AWC PSR 7.62x51 muzzle brake,8000.0,,14824.0,,,,,,,12075.0,RUB,,,,,,,,
AR-15 F1 Firearms Skeletonized Style 1 pistol grip,12000.0,,17769.0,,,,,,,9015.0,RUB,,,,,,,,
FN SCAR PWS SRX rail extension,14000.0,,19415.0,,,,,,,8970.0,RUB,,,,,,,,
AWC PSR .338 LM muzzle brake,15000.0,,21844.0,,,,,,,22425.0,RUB,,,,,,,,
AK Zenit B-10M handguard with B-19 upper mount,19999.0,,34413.0,,,,,,,15327.0,RUB,,,,,,,,
Hensoldt FF 4-16x56 34mm riflescope,32999.0,,37214.0,,,,,,,64152.0,RUB,,,,,,,,
Magpul M-LOK AFG tactical foregrip,20000.0,,23570.0,,,,,,,9114.0,RUB,8624.0,RUB,,,,,,
AK Zenit B-12 Mount,3966.0,,10223.0,,,,,,,3971.0,RUB,,,,,,,,
Holosun LS321 Tactical device,15000.0,,20302.0,,,,,,,18014.0,RUB,,,,,,,,
Magpul MOE Carbine stock,16500.0,,15052.0,,,,,,,9856.0,RUB,7840.0,RUB,,,,,,
AK Zenit B-33 dust cover,22878.0,,26246.0,,,,,,,15582.0,RUB,,,,,,,,
VSS/VAL Zenit B-3 ring mount,16900.0,,20322.0,,,,,,,3165.0,RUB,,,,,,,,
Remington Tactical Choke 12ga,27700.0,,19348.0,,,,,,,3201.0,RUB,,,,,,,,
Zenit Klesch-2P flashlight with laser,19979.0,,20393.0,,,,,,,19831.0,RUB,,,,,,,,
